Supplementary Table 4. List of genes with pathogenic variant frequencies in single-cancer types compared to controls																			
																			
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Histology	Case-control (PTVs)					Case-control (ClinVar pathogenic variants)					Case-control (PTVs + ClinVar pathogenic variants)				
PAH	ENSG00000171759	OMIM	AR	Kidney-RCC	-	-	-	-	-	2.80	0.32	2.20	0.007	0.014	2.80	0.32	2.20	0.007	0.014
PARS2	ENSG00000162396	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.20	0.41	0.793	0.805	0.00	0.20	0.41	0.793	0.801
PCK2	ENSG00000100889	OMIM	AR	Kidney-RCC	1.40	0.32	1.43	0.141	0.225	-	-	-	-	-	1.40	0.32	1.43	0.141	0.227
PCNT	ENSG00000160299	OMIM	AR	Kidney-RCC	0.00	0.20	0.41	0.793	0.797	0.00	0.16	0.67	0.671	0.687	0.00	0.20	0.41	0.793	0.801
PDCD2L	ENSG00000126249	SOD	Not OMIM	Kidney-RCC	1.40	0.24	1.80	0.074	0.119	-	-	-	-	-	1.40	0.24	1.80	0.074	0.120
PDE11A	ENSG00000128655	OMIM	AD	Kidney-RCC	0.70	0.48	0.30	0.789	0.797	-	-	-	-	-	0.70	0.48	0.30	0.789	0.801
PKHD1	ENSG00000170927	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.08	2.43	0.067	0.111	0.70	0.08	2.43	0.067	0.109
PKHD1L1	ENSG00000205038	SOD	Not OMIM	Kidney-RCC	2.10	0.28	2.03	0.023	0.040	-	-	-	-	-	2.10	0.28	2.03	0.023	0.040
PMFBP1	ENSG00000118557	OMIM	AR	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	-	-	-	-	-	0.00	0.16	0.67	0.671	0.683
PMM2	ENSG00000140650	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.16	0.67	0.671	0.683
POLQ	ENSG00000051341	SOD	Not OMIM	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	-	-	-	-	-	0.00	0.16	0.67	0.671	0.683
POLR3A	ENSG00000148606	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
PPA2	ENSG00000138777	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.20	0.41	0.793	0.805	0.00	0.20	0.41	0.793	0.801
PRDM6	ENSG00000061455	OMIM	AD	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
PROP1	ENSG00000175325	OMIM	AR	Kidney-RCC	-	-	-	-	-	1.40	0.04	3.61	0.006	0.013	1.40	0.04	3.61	0.006	0.013
PRSS12	ENSG00000164099	OMIM	AR	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
PRSS56	ENSG00000237412	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.36	-0.33	0.826	0.836	0.00	0.36	-0.33	0.826	0.833
PTGIS	ENSG00000124212	OMIM	Other	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
PYGM	ENSG00000068976	OMIM	AR	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	0.00	0.20	0.41	0.793	0.805	0.00	0.20	0.41	0.793	0.801
RDH12	ENSG00000139988	OMIM	ADAR	Kidney-RCC	0.70	0.08	2.43	0.067	0.108	0.70	0.20	1.42	0.231	0.304	0.70	0.20	1.42	0.231	0.294
RDH5	ENSG00000135437	OMIM	ADAR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.00	0.16	0.67	0.671	0.683
RGL3	ENSG00000205517	SOD	Not OMIM	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	-	-	-	-	-	0.00	0.16	0.67	0.671	0.683
RNF213	ENSG00000173821	SOD	Not OMIM	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
RORA	ENSG00000069667	OMIM	AD	Kidney-RCC	0.00	0.20	0.41	0.793	0.797	-	-	-	-	-	0.00	0.20	0.41	0.793	0.801
RORC	ENSG00000143365	OMIM	AR	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
RP1L1	ENSG00000183638	OMIM	AD	Kidney-RCC	1.40	0.36	1.28	0.184	0.285	-	-	-	-	-	1.40	0.36	1.28	0.184	0.292
RPGRIP1	ENSG00000092200	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.16	0.67	0.671	0.683
RSPH1	ENSG00000160188	OMIM	AR	Kidney-RCC	0.70	0.08	2.43	0.067	0.108	0.70	0.08	2.43	0.067	0.111	0.70	0.08	2.43	0.067	0.109
RTN4R	ENSG00000040608	OMIM	AD	Kidney-RCC	-	-	-	-	-	0.00	0.24	0.19	0.905	0.908	0.00	0.24	0.19	0.905	0.908
RYR1	ENSG00000196218	OMIM	AD	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
SCO2	ENSG00000130489	OMIM	ADAR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
SERPINA1	ENSG00000197249	CPG	Not OMIM	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
SERPIND1	ENSG00000099937	OMIM	AD	Kidney-RCC	-	-	-	-	-	0.00	0.20	0.41	0.793	0.805	0.70	0.20	1.42	0.231	0.294
SETD2	ENSG00000181555	OMIM	AD	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
SGCA	ENSG00000108823	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.16	0.67	0.671	0.687	0.00	0.16	0.67	0.671	0.683
SGSH	ENSG00000181523	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
SHPK	ENSG00000197417	OMIM	AR	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	-	-	-	-	-	0.00	0.16	0.67	0.671	0.683
SI	ENSG00000090402	OMIM	AR	Kidney-RCC	-	-	-	-	-	1.40	0.08	3.03	0.011	0.021	1.40	0.08	3.03	0.011	0.021
SIAE	ENSG00000110013	OMIM	Other	Kidney-RCC	-	-	-	-	-	0.00	0.24	0.19	0.905	0.908	0.00	0.24	0.19	0.905	0.908
SLC10A2	ENSG00000125255	OMIM	AR	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	-	-	-	-	-	0.00	0.16	0.67	0.671	0.683
SLC17A5	ENSG00000119899	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
SLC17A9	ENSG00000101194	OMIM	AD	Kidney-RCC	0.00	0.28	-0.01	0.996	0.996	-	-	-	-	-	0.00	0.28	-0.01	0.996	0.996
SLC26A2	ENSG00000155850	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.28	-0.01	0.996	0.996	0.00	0.28	-0.01	0.996	0.996
SLC26A4	ENSG00000091137	OMIM	AR	Kidney-RCC	-	-	-	-	-	2.10	0.04	4.04	0.001	0.003	2.10	0.04	4.04	0.001	0.003
SLC2A9	ENSG00000109667	OMIM	ADAR	Kidney-RCC	-	-	-	-	-	0.00	0.16	0.67	0.671	0.687	0.00	0.16	0.67	0.671	0.683
SLC6A19	ENSG00000174358	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.16	0.67	0.671	0.687	0.00	0.20	0.41	0.793	0.801
SLC7A9	ENSG00000021488	OMIM	ADAR	Kidney-RCC	-	-	-	-	-	0.70	0.20	1.42	0.231	0.304	0.70	0.20	1.42	0.231	0.294
SLCO1B3	ENSG00000111700	OMIM	Other	Kidney-RCC	0.70	0.08	2.43	0.067	0.108	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
SPG7	ENSG00000197912	OMIM	ADAR	Kidney-RCC	-	-	-	-	-	0.00	0.16	0.67	0.671	0.687	0.00	0.16	0.67	0.671	0.683
SPTA1	ENSG00000163554	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.20	0.41	0.793	0.805	0.00	0.20	0.41	0.793	0.801
SRGAP1	ENSG00000196935	OMIM	AD	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
SUMO4	ENSG00000177688	OMIM	Other	Kidney-RCC	1.40	0.04	3.61	0.006	0.013	-	-	-	-	-	1.40	0.04	3.61	0.006	0.013
TBC1D4	ENSG00000136111	OMIM	Other	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
TBXAS1	ENSG00000059377	OMIM	ADAR	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
TCHH	ENSG00000159450	OMIM	AR	Kidney-RCC	0.70	0.16	1.69	0.165	0.261	-	-	-	-	-	0.70	0.16	1.69	0.165	0.263
TCL1A	ENSG00000100721	SOD	Not OMIM	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
TET2	ENSG00000168769	OMIM	Other	Kidney-RCC	0.70	0.12	2.01	0.110	0.175	-	-	-	-	-	0.70	0.12	2.01	0.110	0.176
TEX15	ENSG00000133863	OMIM	AR	Kidney-RCC	0.00	0.20	0.41	0.793	0.797	-	-	-	-	-	0.00	0.20	0.41	0.793	0.801
TF	ENSG00000091513	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.36	-0.33	0.826	0.836	0.00	0.36	-0.33	0.826	0.833
TGFBI	ENSG00000120708	OMIM	AD	Kidney-RCC	-	-	-	-	-	0.00	0.16	0.67	0.671	0.687	0.00	0.16	0.67	0.671	0.683
TGM1	ENSG00000092295	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.24	1.20	0.304	0.355	0.70	0.24	1.20	0.304	0.345
TGM5	ENSG00000104055	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.16	1.69	0.165	0.269	0.70	0.16	1.69	0.165	0.263
TMEM8C	ENSG00000187616	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.24	0.19	0.905	0.908	0.00	0.24	0.19	0.905	0.908
TMPRSS3	ENSG00000160183	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.20	1.42	0.231	0.304	0.70	0.20	1.42	0.231	0.294
TMPRSS6	ENSG00000187045	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
TNNI3K	ENSG00000116783	OMIM	AD	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
TPH2	ENSG00000139287	OMIM	Other	Kidney-RCC	-	-	-	-	-	0.70	0.08	2.43	0.067	0.111	0.70	0.08	2.43	0.067	0.109
TPO	ENSG00000115705	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.20	0.41	0.793	0.801
TREM2	ENSG00000095970	OMIM	Other	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
TRPM1	ENSG00000134160	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
TSHR	ENSG00000165409	CPG	Not OMIM	Kidney-RCC	-	-	-	-	-	0.70	0.08	2.43	0.067	0.111	0.70	0.08	2.43	0.067	0.109
TSPEAR	ENSG00000175894	OMIM	AR	Kidney-RCC	0.00	0.24	0.19	0.905	0.906	-	-	-	-	-	0.00	0.24	0.19	0.905	0.908
TUBB3	ENSG00000198211	OMIM	AD	Kidney-RCC	0.00	0.28	-0.01	0.996	0.996	-	-	-	-	-	0.00	0.28	-0.01	0.996	0.996
TYR	ENSG00000077498	OMIM	AD	Kidney-RCC	-	-	-	-	-	0.00	0.20	0.41	0.793	0.805	0.00	0.24	0.19	0.905	0.908
UGT2B17	ENSG00000197888	OMIM	Other	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	-	-	-	-	-	0.00	0.16	0.67	0.671	0.683
UNC80	ENSG00000144406	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
USH2A	ENSG00000042781	OMIM	AR	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	0.70	0.12	2.01	0.110	0.180	0.70	0.20	1.42	0.231	0.294
USP45	ENSG00000123552	OMIM	AR	Kidney-RCC	1.40	0.56	0.68	0.459	0.477	-	-	-	-	-	1.40	0.56	0.68	0.459	0.487
VWF	ENSG00000110799	OMIM	ADAR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
XBP1	ENSG00000100219	OMIM	Other	Kidney-RCC	0.00	0.20	0.41	0.793	0.797	-	-	-	-	-	0.00	0.20	0.41	0.793	0.801
XIRP2	ENSG00000163092	SOD	Not OMIM	Kidney-RCC	0.70	0.08	2.43	0.067	0.108	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
A2ML1	ENSG00000166535	OMIM	AD	Liver-HCC	0.00	0.08	-0.58	0.726	0.908	-	-	-	-	-	0.00	0.08	-0.58	0.726	0.908
ABCA7	ENSG00000064687	OMIM	AD	Liver-HCC	0.63	0.08	1.01	0.393	0.552	-	-	-	-	-	0.63	0.08	1.01	0.393	0.558
ABCC11	ENSG00000121270	OMIM	AD	Liver-HCC	0.63	0.00	2.60	0.119	0.221	-	-	-	-	-	0.63	0.00	2.60	0.119	0.217
ABCC2	ENSG00000023839	OMIM	AR	Liver-HCC	0.32	0.08	0.42	0.750	0.929	-	-	-	-	-	0.32	0.08	0.42	0.750	0.926
ABCC6	ENSG00000091262	OMIM	AR	Liver-HCC	0.63	0.20	0.00	0.998	0.999	0.95	0.24	0.20	0.828	0.999	0.95	0.24	0.20	0.828	0.999
ABCG2	ENSG00000118777	OMIM	AD	Liver-HCC	0.63	0.08	1.01	0.393	0.552	-	-	-	-	-	0.63	0.08	1.01	0.393	0.558
ABCG5	ENSG00000138075	OMIM	Other	Liver-HCC	-	-	-	-	-	0.95	0.04	2.02	0.107	0.196	0.95	0.04	2.02	0.107	0.204
ACADM	ENSG00000117054	OMIM	AR	Liver-HCC	0.63	0.00	2.60	0.119	0.221	0.63	0.00	2.60	0.119	0.209	0.63	0.00	2.60	0.119	0.217
ACADS	ENSG00000122971	OMIM	AR	Liver-HCC	-	-	-	-	-	0.63	0.08	1.01	0.393	0.559	0.63	0.08	1.01	0.393	0.558
ACAT1	ENSG00000075239	OMIM	AR	Liver-HCC	0.00	0.12	-1.00	0.535	0.702	0.00	0.12	-1.00	0.535	0.702	0.00	0.12	-1.00	0.535	0.704
ACE	ENSG00000159640	OMIM	AR	Liver-HCC	0.00	0.08	-0.58	0.726	0.908	-	-	-	-	-	0.00	0.08	-0.58	0.726	0.908
ACPT	ENSG00000142513	OMIM	AR	Liver-HCC	0.63	0.00	2.60	0.119	0.221	-	-	-	-	-	0.95	0.00	3.02	0.062	0.118
ACSF3	ENSG00000176715	OMIM	Other	Liver-HCC	0.32	0.08	0.42	0.750	0.929	-	-	-	-	-	0.32	0.08	0.42	0.750	0.926
ADCK3	ENSG00000163050	OMIM	AR	Liver-HCC	0.32	0.04	1.01	0.486	0.651	-	-	-	-	-	0.32	0.04	1.01	0.486	0.654
ADK	ENSG00000156110	OMIM	AR	Liver-HCC	0.95	0.04	2.02	0.107	0.208	-	-	-	-	-	0.95	0.04	2.02	0.107	0.204
ADRB3	ENSG00000188778	OMIM	ADAR	Liver-HCC	0.00	0.12	-1.00	0.535	0.702	-	-	-	-	-	0.00	0.12	-1.00	0.535	0.704
ADSL	ENSG00000239900	OMIM	AR	Liver-HCC	-	-	-	-	-	0.00	0.20	-1.59	0.308	0.443	0.00	0.20	-1.59	0.308	0.443
ADSSL1	ENSG00000185100	OMIM	AR	Liver-HCC	1.58	0.12	1.61	0.086	0.167	1.58	0.12	1.61	0.086	0.160	1.58	0.12	1.61	0.086	0.165
AGBL1	ENSG00000166748	OMIM	AD	Liver-HCC	0.63	0.00	2.60	0.119	0.221	-	-	-	-	-	0.63	0.00	2.60	0.119	0.217
AIRE	ENSG00000160224	OMIM	ADAR	Liver-HCC	-	-	-	-	-	0.00	0.08	-0.58	0.726	0.919	0.00	0.08	-0.58	0.726	0.908
ALB	ENSG00000163631	OMIM	Other	Liver-HCC	1.58	0.00	3.62	0.021	0.041	-	-	-	-	-	1.58	0.00	3.62	0.021	0.041
ALDH18A1	ENSG00000059573	OMIM	ADAR	Liver-HCC	-	-	-	-	-	-	-	-	-	-	0.00	0.08	-0.58	0.726	0.908
ALMS1	ENSG00000116127	OMIM	AR	Liver-HCC	-	-	-	-	-	0.32	0.04	1.01	0.486	0.653	0.32	0.04	1.01	0.486	0.654
ALPK2	ENSG00000198796	SOD	Not OMIM	Liver-HCC	0.32	0.04	1.01	0.486	0.651	-	-	-	-	-	0.32	0.04	1.01	0.486	0.654
AMPD3	ENSG00000133805	OMIM	AR	Liver-HCC	-	-	-	-	-	1.89	0.08	2.26	0.024	0.047	1.89	0.08	2.26	0.024	0.048
APOE	ENSG00000130203	OMIM	AD	Liver-HCC	-	-	-	-	-	0.63	0.04	1.60	0.226	0.371	0.63	0.04	1.60	0.226	0.371
ASPN	ENSG00000106819	OMIM	AD	Liver-HCC	0.63	0.04	1.60	0.226	0.364	-	-	-	-	-	0.63	0.04	1.60	0.226	0.371
ATM	ENSG00000149311	CPG	Not OMIM	Liver-HCC	-	-	-	-	-	-	-	-	-	-	0.63	0.00	2.60	0.119	0.217
ATP7B	ENSG00000123191	OMIM	AR	Liver-HCC	-	-	-	-	-	0.32	0.04	1.01	0.486	0.653	0.32	0.04	1.01	0.486	0.654
B4GALT7	ENSG00000027847	OMIM	AR	Liver-HCC	-	-	-	-	-	0.32	0.04	1.01	0.486	0.653	0.32	0.04	1.01	0.486	0.654
BBS2	ENSG00000125124	OMIM	AR	Liver-HCC	0.00	0.08	-0.58	0.726	0.908	0.00	0.08	-0.58	0.726	0.919	0.00	0.08	-0.58	0.726	0.908
BEST1	ENSG00000167995	OMIM	AD	Liver-HCC	-	-	-	-	-	0.63	0.08	1.01	0.393	0.559	0.63	0.08	1.01	0.393	0.558
BRCA1	ENSG00000012048	CPG	Not OMIM	Liver-HCC	0.32	0.04	1.01	0.486	0.651	0.32	0.04	1.01	0.486	0.653	0.32	0.04	1.01	0.486	0.654
BRD4	ENSG00000141867	SOD	Not OMIM	Liver-HCC	1.26	0.00	3.35	0.034	0.068	-	-	-	-	-	1.26	0.00	3.35	0.034	0.068
C6	ENSG00000039537	OMIM	Other	Liver-HCC	0.63	0.12	0.59	0.592	0.773	-	-	-	-	-	0.63	0.12	0.59	0.592	0.775
C7	ENSG00000112936	OMIM	Other	Liver-HCC	0.63	0.00	2.60	0.119	0.221	-	-	-	-	-	0.63	0.00	2.60	0.119	0.217
CABP4	ENSG00000175544	OMIM	AR	Liver-HCC	-	-	-	-	-	-	-	-	-	-	0.00	0.08	-0.58	0.726	0.908
CALCR	ENSG00000004948	OMIM	AD	Liver-HCC	0.95	0.00	3.02	0.062	0.120	-	-	-	-	-	0.95	0.00	3.02	0.062	0.118
CAPN3	ENSG00000092529	OMIM	ADAR	Liver-HCC	-	-	-	-	-	0.32	0.04	1.01	0.486	0.653	0.32	0.04	1.01	0.486	0.654
CASP10	ENSG00000003400	OMIM	AD	Liver-HCC	-	-	-	-	-	0.95	0.04	2.02	0.107	0.196	0.95	0.04	2.02	0.107	0.204
CASP12	ENSG00000204403	OMIM	Other	Liver-HCC	0.63	0.12	0.59	0.592	0.773	-	-	-	-	-	0.63	0.12	0.59	0.592	0.775
CASQ1	ENSG00000143318	OMIM	AD	Liver-HCC	1.89	0.24	1.02	0.189	0.348	-	-	-	-	-	1.89	0.24	1.02	0.189	0.343
CBLB	ENSG00000114423	SOD	Not OMIM	Liver-HCC	0.32	0.04	1.01	0.486	0.651	-	-	-	-	-	0.32	0.04	1.01	0.486	0.654
CC2D1A	ENSG00000132024	OMIM	AR	Liver-HCC	0.00	0.08	-0.58	0.726	0.908	-	-	-	-	-	0.00	0.08	-0.58	0.726	0.908
CCDC108	ENSG00000181378	OMIM	AR	Liver-HCC	0.63	0.00	2.60	0.119	0.221	-	-	-	-	-	0.63	0.00	2.60	0.119	0.217
CD36	ENSG00000135218	OMIM	AR	Liver-HCC	2.21	0.04	3.04	0.008	0.016	2.84	0.12	2.37	0.006	0.012	3.15	0.16	2.19	0.005	0.011
CDH17	ENSG00000079112	SOD	Not OMIM	Liver-HCC	0.32	0.04	1.01	0.486	0.651	-	-	-	-	-	0.32	0.04	1.01	0.486	0.654
CEP164	ENSG00000110274	OMIM	AR	Liver-HCC	0.63	0.00	2.60	0.119	0.221	-	-	-	-	-	0.63	0.00	2.60	0.119	0.217
CERKL	ENSG00000188452	OMIM	Other	Liver-HCC	0.63	0.00	2.60	0.119	0.221	-	-	-	-	-	0.63	0.00	2.60	0.119	0.217
CFHR5	ENSG00000134389	OMIM	AD	Liver-HCC	0.63	0.00	2.60	0.119	0.221	-	-	-	-	-	0.63	0.00	2.60	0.119	0.217
CFI	ENSG00000205403	OMIM	AD	Liver-HCC	-	-	-	-	-	0.32	0.12	0.00	0.998	0.999	0.32	0.12	0.00	0.998	0.999
CFTR	ENSG00000001626	OMIM	ADAR	Liver-HCC	0.63	0.00	2.60	0.119	0.221	-	-	-	-	-	0.63	0.04	1.60	0.226	0.371
CHI3L1	ENSG00000133048	OMIM	AD	Liver-HCC	0.00	0.16	-1.33	0.402	0.559	-	-	-	-	-	0.00	0.16	-1.33	0.402	0.565
CHRND	ENSG00000135902	OMIM	AR	Liver-HCC	0.00	0.08	-0.58	0.726	0.908	-	-	-	-	-	0.00	0.08	-0.58	0.726	0.908
CHRNG	ENSG00000196811	OMIM	AR	Liver-HCC	-	-	-	-	-	0.63	0.04	1.60	0.226	0.371	0.63	0.04	1.60	0.226	0.371
CLN8	ENSG00000182372	OMIM	AR	Liver-HCC	0.00	0.08	-0.58	0.726	0.908	0.00	0.12	-1.00	0.535	0.702	0.00	0.12	-1.00	0.535	0.704
COL4A4	ENSG00000081052	OMIM	ADAR	Liver-HCC	0.63	0.00	2.60	0.119	0.221	0.00	0.12	-1.00	0.535	0.702	0.63	0.12	0.59	0.592	0.775
COLGALT1	ENSG00000130309	OMIM	AR	Liver-HCC	-	-	-	-	-	-	-	-	-	-	0.63	0.00	2.60	0.119	0.217
COLQ	ENSG00000206561	OMIM	AR	Liver-HCC	-	-	-	-	-	-	-	-	-	-	0.00	0.08	-0.58	0.726	0.908
CORIN	ENSG00000145244	OMIM	Other	Liver-HCC	0.32	0.28	-1.01	0.379	0.535	-	-	-	-	-	0.32	0.28	-1.01	0.379	0.543
CPT2	ENSG00000157184	OMIM	AR	Liver-HCC	-	-	-	-	-	0.63	0.00	2.60	0.119	0.209	0.63	0.00	2.60	0.119	0.217
CRYBA4	ENSG00000196431	OMIM	Other	Liver-HCC	0.32	0.04	1.01	0.486	0.651	-	-	-	-	-	0.32	0.04	1.01	0.486	0.654
CSF2RB	ENSG00000100368	OMIM	AR	Liver-HCC	1.58	0.16	1.29	0.144	0.267	-	-	-	-	-	1.58	0.16	1.29	0.144	0.263
CTH	ENSG00000116761	OMIM	AR	Liver-HCC	0.63	0.00	2.60	0.119	0.221	-	-	-	-	-	0.63	0.00	2.60	0.119	0.217
CUBN	ENSG00000107611	OMIM	AR	Liver-HCC	0.32	0.04	1.01	0.486	0.651	-	-	-	-	-	0.32	0.04	1.01	0.486	0.654
CYP27A1	ENSG00000135929	OMIM	AR	Liver-HCC	-	-	-	-	-	0.00	0.16	-1.33	0.402	0.566	0.00	0.16	-1.33	0.402	0.565
CYP2C8	ENSG00000138115	SOD	Not OMIM	Liver-HCC	0.00	0.16	-1.33	0.402	0.559	-	-	-	-	-	0.00	0.16	-1.33	0.402	0.565
CYP7B1	ENSG00000172817	OMIM	AR	Liver-HCC	0.00	0.08	-0.58	0.726	0.908	-	-	-	-	-	0.00	0.08	-0.58	0.726	0.908
DAG1	ENSG00000173402	OMIM	AR	Liver-HCC	-	-	-	-	-	1.26	0.08	1.76	0.097	0.178	1.26	0.08	1.76	0.097	0.184
DCHS1	ENSG00000166341	OMIM	ADAR	Liver-HCC	-	-	-	-	-	0.63	0.08	1.01	0.393	0.559	0.63	0.08	1.01	0.393	0.558
DFNA5	ENSG00000105928	OMIM	AD	Liver-HCC	0.95	0.08	1.43	0.196	0.359	-	-	-	-	-	0.95	0.08	1.43	0.196	0.354
DHODH	ENSG00000102967	OMIM	AR	Liver-HCC	0.63	0.00	2.60	0.119	0.221	-	-	-	-	-	0.63	0.00	2.60	0.119	0.217
DHTKD1	ENSG00000181192	OMIM	ADAR	Liver-HCC	0.32	0.04	1.01	0.486	0.651	-	-	-	-	-	0.32	0.04	1.01	0.486	0.654
DNAH11	ENSG00000105877	OMIM	AR	Liver-HCC	0.63	0.00	2.60	0.119	0.221	-	-	-	-	-	0.63	0.00	2.60	0.119	0.217
DNAH17	ENSG00000187775	OMIM	AR	Liver-HCC	0.32	0.04	1.01	0.486	0.651	-	-	-	-	-	0.32	0.04	1.01	0.486	0.654
DNAH5	ENSG00000039139	OMIM	Other	Liver-HCC	1.26	0.04	2.35	0.053	0.104	0.95	0.04	2.02	0.107	0.196	1.26	0.04	2.35	0.053	0.103
DPH1	ENSG00000108963	OMIM	AR	Liver-HCC	0.63	0.00	2.60	0.119	0.221	-	-	-	-	-	0.63	0.00	2.60	0.119	0.217
DPYD	ENSG00000188641	OMIM	AR	Liver-HCC	0.00	0.12	-1.00	0.535	0.702	-	-	-	-	-	0.00	0.12	-1.00	0.535	0.704
DPYS	ENSG00000147647	OMIM	AR	Liver-HCC	-	-	-	-	-	0.32	0.12	0.00	0.998	0.999	0.32	0.12	0.00	0.998	0.999
DSG4	ENSG00000175065	OMIM	AR	Liver-HCC	0.32	0.04	1.01	0.486	0.651	-	-	-	-	-	0.32	0.04	1.01	0.486	0.654
DUOX2	ENSG00000140279	OMIM	AR	Liver-HCC	-	-	-	-	-	1.26	0.04	2.35	0.053	0.101	1.26	0.04	2.35	0.053	0.103
DYNC2H1	ENSG00000187240	OMIM	AR	Liver-HCC	0.00	0.08	-0.58	0.726	0.908	-	-	-	-	-	0.00	0.12	-1.00	0.535	0.704
DYSF	ENSG00000135636	OMIM	AR	Liver-HCC	0.32	0.04	1.01	0.486	0.651	0.32	0.08	0.42	0.750	0.936	0.63	0.08	1.01	0.393	0.558
ECHS1	ENSG00000127884	OMIM	AR	Liver-HCC	-	-	-	-	-	0.32	0.04	1.01	0.486	0.653	0.32	0.04	1.01	0.486	0.654
ECT2L	ENSG00000203734	SOD	Not OMIM	Liver-HCC	0.32	0.16	-0.32	0.791	0.976	-	-	-	-	-	0.32	0.16	-0.32	0.791	0.973
EGF	ENSG00000138798	OMIM	Other	Liver-HCC	0.00	0.12	-1.00	0.535	0.702	-	-	-	-	-	0.00	0.12	-1.00	0.535	0.704
EIF2B2	ENSG00000119718	OMIM	AR	Liver-HCC	-	-	-	-	-	0.00	0.08	-0.58	0.726	0.919	0.00	0.08	-0.58	0.726	0.908
